"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","Info"
"313","10.192562","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"317","10.592588","1.5.1","host","USB","72","0000390000000000","URB_INTERRUPT in"
"323","10.800564","1.5.1","host","USB","72","0000060000000000","URB_INTERRUPT in"
"327","10.984580","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"331","11.120581","1.5.1","host","USB","72","0000090000000000","URB_INTERRUPT in"
"335","11.272585","1.5.1","host","USB","72","0000390000000000","URB_INTERRUPT in"
"341","11.768527","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"343","11.880579","1.5.1","host","USB","72","20002f0000000000","URB_INTERRUPT in"
"347","16.984544","1.5.1","host","USB","72","00001e0000000000","URB_INTERRUPT in"
"351","18.088533","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"355","20.576524","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"359","22.968472","1.5.1","host","USB","72","00000c0000000000","URB_INTERRUPT in"
"363","23.080493","1.5.1","host","USB","72","0000160000000000","URB_INTERRUPT in"
"367","23.560468","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"371","23.680491","1.5.1","host","USB","72","00000b0000000000","URB_INTERRUPT in"
"375","23.768489","1.5.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"379","23.848470","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"383","24.256490","1.5.1","host","USB","72","00001c0000000000","URB_INTERRUPT in"
"387","24.392483","1.5.1","host","USB","72","0000120000000000","URB_INTERRUPT in"
"389","24.448456","1.5.1","host","USB","72","0000121800000000","URB_INTERRUPT in"
"391","24.488476","1.5.1","host","USB","72","0000001800000000","URB_INTERRUPT in"
"395","24.864480","1.5.1","host","USB","72","00001a0000000000","URB_INTERRUPT in"
"399","25.144458","1.5.1","host","USB","72","0000040000000000","URB_INTERRUPT in"
"403","25.352488","1.5.1","host","USB","72","0000110000000000","URB_INTERRUPT in"
"407","25.456472","1.5.1","host","USB","72","0000170000000000","URB_INTERRUPT in"
"411","29.264399","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
"413","29.440421","1.5.1","host","USB","72","2000300000000000","URB_INTERRUPT in"
"415","29.496446","1.5.1","host","USB","72","2000000000000000","URB_INTERRUPT in"
